UF,idade,anosest,rendtrabprinc
13,48,16,4000
53,30,16,3000
13,48,16,3000
31,32,16,12236
35,34,16,6000
29,49,1,6000
42,39,16,3700
32,53,16,30000
41,33,16,14000
23,50,12,5000
31,40,14,2100
41,39,16,5500
33,49,16,14000
33,46,16,7000
29,35,12,2000
53,44,16,60000
31,58,16,2000
53,32,13,2200
35,54,16,4000
29,36,16,7000
53,54,14,6969
27,48,16,10000
33,45,16,11000
53,33,16,28000
17,37,16,4696
43,40,16,14000
16,30,15,1600
25,39,16,3000
51,53,14,2000
41,30,16,5000
23,59,14,4200
23,29,14,2000
35,38,16,10000
12,43,12,1100
35,32,16,25000
43,52,12,4000
53,41,16,17000
24,49,14,2000
41,40,16,3215
12,45,16,5000
33,42,16,1100
33,39,12,1500
33,39,15,3500
31,51,16,4000
33,51,16,15000
41,42,16,3000
14,38,16,4000
31,33,16,7000
31,29,16,5200
33,41,16,10000
23,25,16,1500
41,28,14,2200
25,41,16,2000
51,36,14,2000
32,38,16,3500
53,57,16,13000
53,45,16,29000
29,52,16,3500
29,39,16,2500
11,26,10,1100
35,43,16,4000
33,52,12,3700
35,54,12,2000
32,56,12,5000
13,48,16,5000
41,43,16,15000
43,41,16,15000
51,38,15,6000
23,58,16,10000
25,44,16,5000
13,40,16,2500
53,48,16,9000
35,59,9,12000
27,47,12,1100
15,52,16,5000
35,55,16,21000
41,29,16,8000
26,57,16,15000
31,26,16,3500
31,36,16,15000
11,46,12,3000
50,35,12,6000
33,58,16,10000
35,47,16,3001
14,53,16,9000
35,44,12,1700
33,47,16,5000
42,27,16,6000
33,38,16,15000
35,40,12,1500
35,47,16,20000
31,41,16,5500
50,39,16,7600
52,53,15,20000
15,40,16,7000
41,32,16,5000
41,36,16,20000
24,46,12,1400
31,43,16,8000
31,26,16,20000
23,33,12,1800
13,30,16,4000
35,50,16,1500
25,46,16,3000
35,40,14,5000
33,41,14,3000
35,26,16,6300
33,47,16,3300
33,49,12,6000
41,39,16,20000
41,47,12,4500
35,51,16,5600
35,51,11,4000
52,41,16,15000
12,35,16,1500
32,55,16,10000
35,43,16,11000
33,57,16,900
41,54,13,3500
31,45,16,25000
27,43,16,30000
31,40,16,4000
41,36,16,3500
25,55,16,6000
43,25,12,3000
35,52,16,5000
43,44,16,4000
13,35,16,1800
41,35,16,9900
41,26,12,3500
27,53,15,3500
21,35,16,11000
16,37,16,2000
32,49,16,11000
53,54,12,9500
41,34,15,7000
42,34,9,2800
53,54,16,6000
31,40,16,20000
29,57,15,25000
22,58,12,8000
35,32,16,4500
11,31,16,3000
35,49,16,19000
50,25,13,3000
33,31,16,5400
53,46,16,17000
24,28,14,2200
25,54,15,1500
28,28,12,3500
35,42,16,13000
41,33,16,36000
33,27,16,19000
23,49,16,4500
41,32,16,10000
41,46,16,6000
41,33,16,5000
41,51,15,4500
35,41,16,40000
41,49,16,6000
12,47,16,7400
26,28,16,9000
35,47,16,20000
35,39,16,9000
53,36,16,26000
33,51,16,18000
22,52,16,5000
16,40,16,3000
35,55,9,4000
21,40,16,3000
52,52,12,1600
53,44,16,5000
53,35,16,18000
50,35,16,2900
33,59,16,3500
43,40,16,8000
31,34,12,1200
11,45,16,1600
17,32,12,2500
52,31,16,2000
27,39,16,1500
31,39,16,6000
31,29,14,6000
53,46,16,9000
28,53,16,5000
12,59,15,8000
41,58,16,18000
14,45,16,1100
12,52,12,3000
12,33,12,3500
15,53,16,8000
33,59,16,4000
50,38,16,3500
53,31,16,6000
35,58,14,13000
41,33,16,12000
52,37,14,2000
35,40,14,5000
52,26,16,3500
53,59,16,6000
33,36,16,14000
32,29,12,1200
13,50,16,3000
50,55,16,4100
53,44,16,4000
35,40,16,13000
41,54,16,5000
31,47,12,3500
50,40,16,8000
50,54,16,5000
52,35,16,5600
13,51,16,6000
53,49,16,28000
11,26,16,4200
52,42,16,5000
12,29,16,3177
31,41,16,14000
53,42,16,7000
33,54,12,5800
41,48,16,3500
23,30,16,3000
35,33,16,15000
41,41,16,10000
33,43,15,5000
31,34,16,9000
24,25,16,1000
31,50,16,6000
13,34,16,4500
13,55,12,15000
41,44,16,15000
41,51,16,25000
31,40,16,25000
53,37,12,2500
27,54,12,4000
52,26,14,3000
12,30,16,1500
35,56,16,1400
41,44,12,2800
53,52,6,3000
53,51,16,11100
27,36,16,15000
29,34,16,7000
35,34,16,15800
23,27,16,2500
22,42,16,5000
23,40,12,4000
35,39,16,5000
41,37,16,4000
35,50,16,8000
33,33,16,7000
14,28,16,2700
21,31,15,4500
32,33,16,15000
41,44,12,3000
42,55,14,5600
13,53,16,7000
27,29,14,5000
53,51,9,2000
35,46,16,7000
35,45,14,12000
52,30,16,6500
31,50,16,2700
29,31,12,1600
15,48,16,3500
23,53,16,10000
35,59,9,8000
43,32,16,6000
52,47,12,4000
26,31,16,3700
33,33,15,3500
33,42,16,5000
41,50,12,4000
24,52,16,30000
31,48,15,4000
17,56,12,5000
22,34,16,5000
35,34,12,3000
25,57,12,1500
35,28,16,7000
32,57,13,15000
35,42,12,3000
25,55,16,2500
43,41,9,2700
35,49,16,9000
24,33,14,1100
25,32,16,5000
53,45,14,2500
42,42,16,10000
53,46,12,2400
42,40,13,3000
27,34,12,1100
41,34,16,9000
15,53,16,12000
41,34,16,2500
35,41,16,10000
35,26,16,7000
41,41,16,14000
53,59,12,5000
31,39,16,22000
28,45,12,1100
33,39,16,7000
27,44,12,1700
41,50,16,4000
35,44,16,6000
26,26,12,1500
31,59,14,1900
27,39,16,5000
27,53,12,2800
52,39,13,1400
35,34,16,7000
31,46,16,10000
33,50,16,10000
42,34,11,1600
35,32,16,8000
52,46,13,3000
12,40,12,2000
35,36,16,5000
41,51,16,2500
35,43,16,5000
23,35,16,5000
31,45,16,17000
33,46,16,70000
33,56,16,20000
35,59,14,7000
33,50,16,7000
31,46,16,9000
35,53,16,7000
29,39,16,14000
32,47,16,16000
50,32,16,8000
22,39,16,2000
41,37,16,3000
31,27,16,3000
52,40,12,4000
53,47,16,40000
43,53,16,16000
31,58,16,36000
35,36,10,2000
24,29,16,5000
52,35,16,4400
53,37,16,1100
15,49,16,3500
31,56,16,23000
33,54,9,1518
35,45,16,1700
53,30,16,5000
33,40,16,15000
33,39,9,4000
31,37,16,3200
35,26,15,5000
35,34,12,10000
35,36,16,18000
52,37,12,5500
23,38,16,4000
35,37,16,19000
41,33,13,1500
41,50,14,15000
41,31,15,3800
35,42,14,2500
52,26,13,2000
25,43,16,7000
33,52,13,15000
50,32,16,6000
35,37,16,7000
33,44,16,16000
35,40,16,3000
31,41,16,4500
35,51,16,550
41,37,12,1200
35,47,16,20000
35,47,16,40000
41,46,13,2000
31,51,12,3000
33,41,16,10000
51,45,16,1100
26,26,16,1300
41,48,16,2500
35,31,14,6800
53,48,16,6000
41,44,16,3800
33,42,16,1650
41,45,16,10000
33,39,16,8000
12,35,16,3000
15,54,14,2500
31,28,16,7000
33,48,14,2600
33,35,16,7334
41,36,16,12000
53,31,16,1800
41,38,16,10000
41,41,11,3900
42,34,16,13000
43,36,16,4000
35,36,16,15000
33,48,16,8000
52,40,16,10000
43,42,16,3000
41,28,16,4000
35,51,16,20000
52,49,16,4400
31,40,16,10000
52,34,13,3000
41,46,16,4000
43,51,16,7000
33,40,16,12000
53,27,16,2500
52,59,16,20000
53,44,12,5000
32,32,16,4000
31,39,16,18000
35,38,16,15000
53,25,16,2000
53,36,12,1800
33,53,16,8000
42,43,16,8000
32,53,16,5000
41,47,12,30000
50,35,16,10400
27,29,13,2000
35,55,9,2600
28,40,12,3000
43,29,16,4000
26,38,16,1200
33,34,16,11000
33,37,16,2200
41,34,16,20000
53,52,16,10000
52,45,16,25000
43,34,16,4000
53,54,12,12000
50,27,16,2500
31,39,16,44000
12,40,16,2000
12,43,11,2000
53,46,16,3500
31,58,16,9000
27,57,16,20000
13,46,12,4000
43,47,16,15000
52,39,12,2500
23,51,12,2000
13,32,12,2100
11,27,12,2000
13,26,16,7700
33,36,16,5500
31,58,14,8500
13,34,16,4000
13,43,16,6600
12,33,16,7000
43,46,16,15000
53,47,16,10000
13,27,16,3400
33,33,16,12000
26,26,15,3300
17,35,16,3000
50,55,12,2500
23,57,12,5000
35,38,14,2000
35,34,12,3100
41,46,16,6000
21,52,16,10000
13,43,16,5000
53,45,10,3800
26,50,16,15000
35,42,12,2000
41,51,16,6000
42,36,12,3000
28,39,14,5500
22,44,15,15000
31,29,12,3300
23,58,16,6300
29,52,16,1296
33,59,12,2400
35,36,15,10000
25,58,16,8000
23,45,16,2500
41,43,12,2000
29,31,16,2000
28,57,10,4000
27,45,5,1100
33,42,16,10000
31,37,16,16000
35,31,13,1100
31,47,12,5000
31,46,12,3500
33,42,16,5500
43,36,16,10000
28,55,10,2000
27,34,10,5000
25,49,16,6000
50,57,14,8000
13,25,16,3300
41,52,8,1400
21,43,12,4000
53,42,12,800
22,33,16,2500
35,43,14,20000
33,48,16,16500
33,55,16,30000
31,37,15,15000
31,44,16,18000
32,32,16,5000
31,47,12,1100
13,56,16,10000
43,47,16,10000
31,40,12,2000
32,50,16,17000
33,39,16,15000
53,46,9,500
12,58,16,10000
35,29,16,3000
33,37,16,15000
41,37,16,5000
35,42,12,6000
35,51,16,1601
24,54,12,2000
31,40,15,5000
35,52,16,80000
43,44,16,12000
35,40,12,2200
33,55,15,30000
53,47,16,5000
17,27,16,1100
50,45,16,8000
33,40,16,20000
12,52,6,2000
35,48,15,40000
31,42,12,3500
41,45,9,4600
50,41,16,5000
22,45,16,10000
50,43,16,10000
41,38,16,4500
43,53,16,4000
25,32,12,18000
35,39,14,2600
42,51,16,15000
35,56,16,32000
31,55,16,7700
41,49,16,5000
41,54,16,60000
43,47,14,4000
50,30,13,2000
31,36,12,4500
33,47,16,20000
26,52,16,40000
31,39,16,5000
21,49,12,5000
41,52,12,20000
31,40,16,3500
43,36,16,5000
52,47,9,1500
31,49,16,10000
52,27,13,5000
33,55,15,2200
35,49,16,3000
33,35,16,11000
35,47,16,23000
51,29,16,8000
26,58,16,8000
35,45,16,13000
53,43,16,17000
33,49,16,36000
25,42,15,5000
33,39,16,6000
41,52,16,5000
35,48,16,18000
35,39,14,6000
23,45,16,11000
31,39,12,7000
33,33,16,8000
52,32,16,8000
50,56,16,17800
22,56,12,10000
33,50,16,10000
52,40,16,2500
29,47,15,3000
43,32,16,5000
31,30,16,7000
31,38,16,8000
42,50,16,5000
33,28,16,4200
26,53,13,2700
29,44,13,1100
33,41,16,9000
25,43,12,8000
43,40,16,10000
43,58,12,6000
16,30,16,2100
33,28,16,10000
31,39,16,2700
23,41,16,3000
25,28,15,2000
33,36,16,3000
53,43,16,27000
35,29,10,10000
31,36,16,10400
35,41,16,13000
41,25,14,5500
35,35,16,4500
53,57,16,12000
35,33,16,2800
26,50,6,1100
52,30,16,5000
35,53,16,6000
35,34,16,30000
41,51,15,5000
35,53,16,4500
35,54,15,5000
31,35,16,18000
35,39,16,11000
43,39,16,10000
52,35,14,8000
24,48,16,3300
41,53,16,5000
29,42,16,3000
35,31,16,35000
42,53,13,3500
25,34,16,3000
31,39,16,12000
31,29,16,10000
35,54,16,18000
50,45,16,10000
29,32,13,15000
51,42,16,7000
53,40,16,7000
13,47,12,4000
12,49,16,4000
42,46,16,15000
16,46,16,7000
41,53,14,6000
43,37,16,20600
27,57,16,8000
14,48,16,10000
11,44,16,7000
53,32,16,14000
42,47,16,15000
33,50,12,1500
43,51,16,18000
53,59,12,3560
41,40,16,3000
23,36,16,6000
14,30,13,1100
15,41,16,1800
53,25,16,1400
33,41,16,11000
53,35,16,5000
11,43,14,4400
24,52,16,3000
32,57,16,5000
50,55,10,6000
29,48,12,2100
41,54,16,8000
35,53,16,6000
50,47,14,8000
53,49,16,12000
33,51,16,15800
31,35,16,4000
11,45,15,1200
12,40,13,1100
50,35,16,7500
14,31,16,5000
35,37,16,5000
42,44,16,15000
53,28,16,6000
53,54,16,5500
13,32,16,5000
31,31,16,110000
17,40,16,6000
17,34,16,5000
41,32,16,6000
35,39,16,4000
26,32,16,10500
26,38,16,6000
16,52,16,2200
26,30,14,2200
31,54,16,9000
52,35,16,10000
51,46,16,5000
53,40,16,15000
50,43,16,10000
53,30,12,1100
23,37,16,6000
41,40,16,4500
25,50,14,1700
21,38,16,3000
53,26,12,1100
33,50,16,12300
32,51,16,5500
14,58,16,3000
53,29,16,12000
